label,count
AgInt no RE nos EDcl no AREsp,2
AgInt nos EDcl no AgInt nos EAREsp,2
AgRg no ARE no RE no AgRg no AREsp,2
EDcl nos EDcl no AgInt nos EDcl no RE nos EDcl no AgInt no AREsp,2
AgRg no RE nos EDcl no AgRg nos EDcl nos EAREsp,2
EDcl no AgInt no RE nos EDcl no AREsp,2
AgInt no RE nos EDcl no AgInt no AgInt no AREsp,2
AgInt no ARE no RE nos EDcl no AgInt no REsp,2
EDcl nos EDcl nos EDcl no AgInt no RE nos EDcl no AgInt no AREsp,2
AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl no AREsp,2
AgRg na CR,2
EDcl nos EDcl no AgInt no RE nos EDcl no AgInt nos EAREsp,2
AgInt no AgInt no RE nos EDcl no AgInt no AREsp,2
EDcl nos EDcl no AgInt nos EDcl nos EAREsp,2
AgInt no MI,2
EDcl no AgInt na Pet,2
AgRg no RE no AgRg no AgRg nos EDcl no REsp,1
EDcl na IF,1
AgRg na MPUMP,1
EDcl nos EDcl no AgInt no RE nos EDcl no CC,1
EDcl nos EDcl no AgInt no RE nos EDcl nos EDcl nos EDcl no AgInt no AREsp,1
EDcl no AgRg no RE nos EDcl no AgRg nos EAREsp,1
EDcl no AgInt no RE nos EDcl no AgInt no AgInt no REsp,1
EDcl nos EDcl no AgRg no RE nos EDcl nos EDcl no AgRg nos EAREsp,1
AgRg no RE no AREsp,1
AgRg na ExSusp,1
EDcl no AgInt na CR,1
AgInt no RE nos EDcl no AgRg no Ag,1
AgInt nos EDcl no RE nos EDcl no AgInt no CC,1
AgInt no RE no AgInt nos EDcl no RMS,1
AgInt nos EDcl na CR,1
ReCoAp,1
AgInt no AgInt nos EDcl no AgInt no REsp,1
AgInt nos EDcl no RE no AgRg no REsp,1
AgInt no RE nos EDcl no AgRg no AREsp,1
EDcl nos EDcl no AgRg na APn,1
EDcl no AgRg nos EDcl na APn,1
EDcl na SEC,1
ARE no RE nos EDcl no AgRg no RHC,1
EDcl no AgRg no RE nos EDcl no HC,1
EDcl no MS,1
EDcl nos EDcl nos EDcl nos EDcl no AgInt nos EAREsp,1
EDv nos EDcl no AgRg nos EAREsp,1
EDcl na CauInomCrim,1
EDcl no AgInt no RE nos EDcl nos EDcl nos EDcl no AgInt no AREsp,1
EDcl no AgInt no RE nos EDcl no CC,1
EDcl no AgRg na APn,1
AgRg nos EDcl no AgRg no MS,1
AgRg nos EDv nos EDcl no AgRg nos EAREsp,1
EDcl nos EDcl no AgInt nos EDcl nos EDcl no AgInt nos EDcl nos EAREsp,1
AgRg no AgRg na Sd,1
AgInt no RE nos EREsp,1
EDcl no AgInt no RE no AgInt no RMS,1
AgInt no RE nos EDcl no AgRg nos EREsp,1
AgInt no RE no AgInt na AR,1
AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl nos EDcl no REsp,1
ARE no RE nos EDcl no AgRg no AREsp,1
QO na MISOC,1
AgInt nos EDcl nos EDcl no TP,1
AgInt no RE nos EDcl no AgInt no AgInt no AgInt no AREsp,1
ARE no RE no AgRg no AREsp,1
AgInt no RE nos EDcl no AgInt nos EDcl no RMS,1
EDcl nos EDcl no AgRg no RE nos EDcl nos EDcl no AgRg nos EDcl nos EAREsp,1
AgInt nos EDcl na PET na SLS,1
ARE no RE nos EDcl no AgInt na Rcl,1
AgRg nos EDcl no AgRg no REsp,1
RCD nos EDcl no AgInt no AgInt nos EAREsp,1
AgInt nos EDcl no RE nos EDcl nos EDcl no AgInt no RMS,1
ARE no RE no AgInt no RMS,1
ARE no RE no AgInt no AREsp,1
RCD na PET nos EAREsp,1
EDcl nos EDcl nos EDcl no AgInt no RE nos EDcl no AgInt nos EDcl no REsp,1
EDcl nos EDcl nos EDcl no AgInt no RE no AgInt nos EAREsp,1
RvCr,1
EDcl no AgRg no RE nos EDcl nos EDcl no AgRg nos EAREsp,1
EDcl nos EDcl na APn,1
EDcl no AgInt no RE nos EDcl no AgInt no CC,1
EDcl no AgRg no RE nos EDcl no AgRg nos EDcl no REsp,1
AgInt no Prc,1
EDcl no AgInt nos EDcl no MS,1
PET nos EDcl no RE nos EDcl no AgInt no PUIL,1
AgInt no RE nos EDcl nos EDcl no RMS,1
AgInt no AgInt na SS,1
EDcl no AgRg no MS,1
AgInt no RE nos EDcl nos EDcl nos EREsp,1
AgInt no RE no AgInt nos EDcl nos EDv nos EAREsp,1
EDcl no AgInt no RE nos EDcl no AgInt nos EDv nos EAREsp,1
QO no AgRg na PET na APn,1
QO no AgRg na Pet,1
PET na Pet,1
PSusOr no AgRg no RE nos EDcl no AgRg no AREsp,1
AgRg nos EDv nos EAREsp,1
EDcl no AgInt no RE nos EDcl no AgInt na AR,1
EDcl no AgInt no RE nos EDcl nos EDcl no AgRg no REsp,1
RCD no ARE no RE no AREsp,1
EDcl no AgRg na ReCoAp,1
AgRg nos EDcl no MS,1
AgInt nos EDv nos EAREsp,1
AgInt no CC,1
AgInt no PDist no RE nos EDcl no AgInt no RMS,1
AgInt nos EDcl nos EDcl nos EREsp,1
AgRg no RE nos EDcl no AgRg nos EDcl no AREsp,1
AgInt no RE nos EDcl no AgInt nos EDcl no AgInt no CC,1
AgInt no AgInt no RE no AgInt no RMS,1
AgRg no AgRg nos EREsp,1
AgRg no RE no RHC,1
EDcl no AgInt no RE nos EDcl no AgInt nos EDcl nos EAREsp,1
AgRg na HDE,1
EDcl nos EDcl no AgInt no RE no AgInt nos EREsp,1
